"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.739267083E-1,-2.350112915E-2,1.092727661E-2,9.774374084E0
8.839737083E-1,-2.439926147E-2,6.735992432E-3,9.780810699E0
8.940217083E-1,-3.128494263E-2,7.035369873E-3,9.774673462E0
9.040687083E-1,-3.367996216E-2,1.227447510E-2,9.769134979E0
9.141157083E-1,-2.888992310E-2,7.185058594E-3,9.774823151E0
9.241637083E-1,-2.918930054E-2,1.197509766E-3,9.780361633E0
9.342107083E-1,-2.469863892E-2,1.796264648E-3,9.774523773E0
9.442577083E-1,-2.694396973E-2,7.484436035E-4,9.771679688E0
9.543047083E-1,-2.709365845E-2,9.280700684E-3,9.774074707E0
9.643527083E-1,-2.978805542E-2,7.185058594E-3,9.780810699E0
9.743997083E-1,-2.903961182E-2,8.232879639E-3,9.773475952E0
9.844467083E-1,-3.218307495E-2,9.729766846E-3,9.774972839E0
9.944947083E-1,-2.529739380E-2,2.095642090E-3,9.780361633E0
1.004541708E0,-2.350112915E-2,3.442840576E-3,9.773326263E0
1.014588708E0,-3.367996216E-2,1.077758789E-2,9.768985291E0
1.024635708E0,-2.784210205E-2,2.095642090E-3,9.789642334E0
1.034683708E0,-1.227447510E-2,-8.981323242E-4,9.773925018E0
1.044730708E0,-1.422042847E-2,-4.490661621E-4,9.770631866E0
1.054777708E0,-2.888992310E-2,1.347198486E-3,9.770781555E0
1.064825708E0,-3.517684937E-2,4.490661621E-4,9.778116302E0
1.074872708E0,-3.248245239E-2,8.831634521E-3,9.786199493E0
1.084919708E0,-2.395019531E-2,1.287322998E-2,9.779164124E0
1.094966708E0,-1.990859985E-2,8.681945801E-3,9.777816925E0
1.105014708E0,-1.317260742E-2,3.143463135E-3,9.787097626E0
1.115061708E0,-3.203338623E-2,9.280700684E-3,9.765243073E0
1.125108708E0,-3.592529297E-2,6.885681152E-3,9.771380310E0
1.135156708E0,-3.667373657E-2,-6.286926270E-3,9.774523773E0
1.145203708E0,-4.146377563E-2,-1.796264648E-3,9.778116302E0
1.155250708E0,-3.188369751E-2,-2.140548706E-2,9.781110077E0
1.165297708E0,-1.631607056E-2,-2.829116821E-2,9.768536224E0
1.175345708E0,-2.993774414E-4,6.436614990E-3,9.772577820E0
1.185392708E0,-1.526824951E-2,3.053649902E-2,9.773775330E0
1.195439708E0,-3.562591553E-2,1.796264648E-2,9.772577820E0
1.205486708E0,-4.400848389E-2,-1.122665405E-2,9.767189026E0
1.215534708E0,-2.454895020E-2,-1.407073975E-2,9.777816925E0
1.225581708E0,-7.634124756E-3,7.484436035E-3,9.783056030E0
1.235628708E0,-1.062789917E-2,1.362167358E-2,9.768087158E0
1.245676708E0,-2.679428101E-2,9.729766846E-3,9.778415680E0
1.255724000E0,-3.981719971E-2,-4.191284180E-3,9.770332489E0
1.265771000E0,-3.143463135E-2,-1.362167358E-2,9.786498871E0
1.275818000E0,-6.286926270E-3,1.017883301E-2,9.780810699E0
1.285866000E0,-2.544708252E-2,2.125579834E-2,9.780511322E0
1.295913000E0,-3.442840576E-2,5.837860107E-3,9.776020660E0
1.305960000E0,-3.562591553E-2,-3.891906738E-3,9.777816925E0
1.316008000E0,-2.529739380E-2,1.496887207E-4,9.780211945E0
1.326055000E0,-7.783813477E-3,7.634124756E-3,9.775272217E0
1.336102000E0,-2.529739380E-2,6.586303711E-3,9.778565369E0
1.346149000E0,-4.355941772E-2,-1.796264648E-3,9.776320038E0
1.356197000E0,-4.041595459E-2,-7.484436035E-3,9.773176575E0
1.366244000E0,-1.242416382E-2,-2.844085693E-3,9.772128754E0
1.376291000E0,-7.334747314E-3,1.511856079E-2,9.775122528E0
1.386339000E0,-2.215393066E-2,-1.422042847E-2,9.778864746E0
1.396386000E0,-4.101470947E-2,-4.999603271E-2,9.776020660E0
1.406433000E0,-3.188369751E-2,-2.814147949E-2,9.783654785E0
1.416480000E0,-2.365081787E-2,4.909790039E-2,9.767638092E0
1.426528000E0,-2.095642090E-2,6.167175293E-2,9.779762878E0
1.436575000E0,-3.667373657E-2,1.721420288E-2,9.776918793E0
1.446622000E0,-3.487747192E-2,-3.876937866E-2,9.768835602E0
1.456669000E0,-3.188369751E-2,-1.856140137E-2,9.777517548E0
1.466717000E0,-1.586700439E-2,3.487747192E-2,9.780511322E0
1.476764000E0,-1.616638184E-2,5.284011841E-2,9.774823151E0
1.486811000E0,-4.296066284E-2,1.092727661E-2,9.771979065E0
1.496859000E0,-4.131408691E-2,-3.502716064E-2,9.771979065E0
1.506906000E0,-1.916015625E-2,-1.736389160E-2,9.781259766E0
1.516953000E0,-4.041595459E-3,2.230361938E-2,9.785301361E0
1.527000000E0,-2.215393066E-2,3.487747192E-2,9.780062256E0
1.537048000E0,-4.161346436E-2,-5.987548828E-3,9.779613190E0
1.547095000E0,-3.951782227E-2,-2.439926147E-2,9.781409454E0
1.557142000E0,-2.230361938E-2,-2.993774414E-3,9.776918793E0
1.567190000E0,-1.556762695E-2,2.350112915E-2,9.768087158E0
1.577237000E0,-3.203338623E-2,2.933898926E-2,9.776320038E0
1.587284000E0,-4.580474854E-2,-9.580078125E-3,9.764943695E0
1.597331000E0,-2.844085693E-2,-2.275268555E-2,9.785451050E0
1.607379000E0,-1.317260742E-2,3.891906738E-3,9.778265991E0
1.617426000E0,-1.062789917E-2,2.694396973E-2,9.778265991E0
1.627473000E0,-3.966751099E-2,1.556762695E-2,9.773326263E0
1.637521000E0,-4.849914551E-2,-2.245330811E-3,9.779313812E0
1.647568000E0,-2.365081787E-2,-7.484436035E-4,9.773326263E0
1.657615000E0,-4.939727783E-3,5.538482666E-3,9.779313812E0
1.667662000E0,-1.886077881E-2,8.232879639E-3,9.781409454E0
1.677710000E0,-4.864883423E-2,1.227447510E-2,9.771080933E0
1.687757000E0,-5.239105225E-2,4.041595459E-3,9.785451050E0
1.697804000E0,-2.215393066E-2,2.544708252E-3,9.777218170E0
1.707851000E0,-7.484436035E-4,1.122665405E-2,9.773925018E0
1.717899000E0,-1.377136230E-2,5.538482666E-3,9.774374084E0
1.727946000E0,-4.535568237E-2,-2.844085693E-3,9.763147430E0
1.737993000E0,-4.505630493E-2,-5.239105225E-3,9.776619415E0
1.748041000E0,-1.541793823E-2,2.993774414E-4,9.773925018E0
1.758088000E0,2.993774414E-4,1.107696533E-2,9.773775330E0
1.768135000E0,-1.945953369E-2,5.688171387E-3,9.779912567E0
1.778182000E0,-4.131408691E-2,-2.544708252E-3,9.774972839E0
1.788230000E0,-3.697311401E-2,-5.388793945E-3,9.771979065E0
1.798277000E0,-1.422042847E-2,9.879455566E-3,9.770332489E0
1.808324000E0,1.646575928E-3,1.092727661E-2,9.785301361E0
1.818372000E0,-2.544708252E-2,2.694396973E-3,9.769733734E0
1.828419000E0,-4.370910645E-2,-5.837860107E-3,9.775571594E0
1.838466000E0,-3.532653809E-2,8.083190918E-3,9.785451050E0
1.848513000E0,-1.586700439E-2,1.437011719E-2,9.775571594E0
1.858561000E0,-1.437011719E-2,7.783813477E-3,9.774523773E0
1.868608000E0,-2.020797729E-2,-4.640350342E-3,9.780511322E0
1.878655000E0,-3.098556519E-2,-6.735992432E-3,9.776769104E0
1.888702000E0,-4.011657715E-2,9.879455566E-3,9.776769104E0
1.898750000E0,-2.380050659E-2,1.916015625E-2,9.782008209E0
1.908797000E0,-2.709365845E-2,-1.047821045E-3,9.777667236E0
1.918844000E0,-2.679428101E-2,-1.092727661E-2,9.782008209E0
1.928892000E0,-4.610412598E-2,-3.592529297E-3,9.778415680E0
1.938939000E0,-3.353027344E-2,6.286926270E-3,9.772278442E0
1.948986000E0,-2.245330811E-2,5.388793945E-3,9.777517548E0
1.959033000E0,-1.945953369E-2,1.556762695E-2,9.774823151E0
1.969081000E0,-2.754272461E-2,-1.796264648E-3,9.773326263E0
1.979128000E0,-4.311035156E-2,-1.197509766E-3,9.774972839E0
1.989175000E0,-3.547622681E-2,4.490661621E-3,9.789342957E0
1.999223000E0,-2.933898926E-2,5.388793945E-3,9.777218170E0
2.009270000E0,-1.601669312E-2,5.987548828E-4,9.777367859E0
2.019317000E0,-2.574645996E-2,-7.484436035E-3,9.773775330E0
2.029364000E0,-3.173400879E-2,1.197509766E-3,9.777667236E0
2.039412000E0,-2.649490356E-2,1.347198486E-2,9.779912567E0
2.049459000E0,-1.975891113E-2,8.083190918E-3,9.787397003E0
2.059506000E0,-2.454895020E-2,3.891906738E-3,9.785750427E0
2.069554000E0,-2.888992310E-2,2.993774414E-3,9.774074707E0
2.079601000E0,-3.233276367E-2,8.681945801E-3,9.778265991E0
2.089648000E0,-3.712280273E-2,2.844085693E-3,9.775870972E0
2.099695000E0,-3.143463135E-2,-4.490661621E-4,9.768835602E0
2.109743000E0,-2.215393066E-2,4.490661621E-4,9.771979065E0
2.119790000E0,-2.275268555E-2,-4.939727783E-3,9.774374084E0
2.129837000E0,-2.888992310E-2,4.640350342E-3,9.783355408E0
2.139884000E0,-3.338058472E-2,7.334747314E-3,9.779313812E0
2.149932000E0,-3.637435913E-2,4.640350342E-3,9.772577820E0
2.159979000E0,-2.709365845E-2,3.143463135E-3,9.771829376E0
2.170026000E0,-2.185455322E-2,2.993774414E-4,9.769584045E0
2.180074000E0,-2.709365845E-2,-1.197509766E-3,9.771529999E0
2.190121000E0,-2.918930054E-2,-0.000000000E0,9.771230621E0
2.200168000E0,-2.589614868E-2,1.197509766E-3,9.776469727E0
2.210215000E0,-3.113525391E-2,-2.245330811E-3,9.781708832E0
2.220263000E0,-2.380050659E-2,8.681945801E-3,9.782307587E0
2.230310000E0,-2.275268555E-2,7.035369873E-3,9.777068481E0
2.240357000E0,-2.574645996E-2,6.885681152E-3,9.779463501E0
2.250405000E0,-1.930984497E-2,2.993774414E-4,9.775122528E0
2.260451875E0,-1.871109009E-2,6.586303711E-3,9.770332489E0
2.270498875E0,-2.664459229E-2,7.484436035E-4,9.768985291E0
2.280545875E0,-2.469863892E-2,6.586303711E-3,9.766739960E0
2.290593875E0,-3.787124634E-2,1.347198486E-3,9.776619415E0
2.300640875E0,-2.395019531E-2,1.945953369E-3,9.772278442E0
2.310687875E0,-2.514770508E-2,-4.939727783E-3,9.778116302E0
2.320735875E0,-2.335144043E-2,-8.681945801E-3,9.779313812E0
2.330782875E0,-2.619552612E-2,-1.197509766E-3,9.780211945E0
2.340829875E0,-1.916015625E-2,7.783813477E-3,9.773176575E0
2.350876875E0,-2.409988403E-2,1.017883301E-2,9.776918793E0
2.360924875E0,-2.065704346E-2,4.790039062E-3,9.776469727E0
2.370971875E0,-2.454895020E-2,3.143463135E-3,9.781409454E0
2.381018875E0,-3.278182983E-2,1.796264648E-3,9.784552917E0
2.391065875E0,-3.472778320E-2,5.388793945E-3,9.781708832E0
2.401113875E0,-3.023712158E-2,1.347198486E-3,9.781858521E0
2.411160875E0,-3.278182983E-2,4.490661621E-4,9.774523773E0
2.421207875E0,-3.113525391E-2,5.388793945E-3,9.780960388E0
2.431255875E0,-2.424957275E-2,5.987548828E-3,9.781559143E0
2.441302875E0,-2.200424194E-2,8.681945801E-3,9.774374084E0
2.451349875E0,-2.664459229E-2,1.047821045E-3,9.778116302E0
2.461396875E0,-2.769241333E-2,1.272354126E-2,9.780211945E0
2.471444875E0,-2.963836670E-2,4.939727783E-3,9.776020660E0
2.481491875E0,-3.158432007E-2,1.062789917E-2,9.779613190E0
2.491538875E0,-3.113525391E-2,3.592529297E-3,9.778116302E0
2.501586875E0,-3.757186890E-2,-5.987548828E-4,9.774074707E0
2.511633875E0,-2.559677124E-2,1.496887207E-4,9.781559143E0
2.521680875E0,-2.350112915E-2,-5.987548828E-4,9.779912567E0
2.531727875E0,-2.814147949E-2,1.945953369E-3,9.776918793E0
2.541775875E0,-3.248245239E-2,-2.245330811E-3,9.779762878E0
2.551822875E0,-2.694396973E-2,-4.490661621E-4,9.782906342E0
2.561869875E0,-1.930984497E-2,4.490661621E-4,9.780661011E0
2.571916875E0,-1.975891113E-2,-1.197509766E-3,9.781858521E0
2.581964875E0,-3.622467041E-2,1.496887207E-4,9.768835602E0
2.592011875E0,-2.724334717E-2,5.538482666E-3,9.770482178E0
2.602058875E0,-2.859054565E-2,8.831634521E-3,9.776769104E0
2.612106875E0,-2.185455322E-2,6.885681152E-3,9.776020660E0
2.622153875E0,-3.397933960E-2,3.442840576E-3,9.771979065E0
2.632200875E0,-3.113525391E-2,-4.490661621E-3,9.778565369E0
2.642247875E0,-2.874023438E-2,8.232879639E-3,9.782307587E0
2.652295875E0,-3.263214111E-2,1.422042847E-2,9.781708832E0
2.662342875E0,-3.143463135E-2,-4.790039062E-3,9.772428131E0
2.672389875E0,-3.502716064E-2,-7.933502197E-3,9.770182800E0
2.682437875E0,-2.469863892E-2,1.032852173E-2,9.775721283E0
2.692484875E0,-2.125579834E-2,1.362167358E-2,9.774673462E0
2.702531875E0,-2.948867798E-2,9.430389404E-3,9.771380310E0
2.712578875E0,-3.517684937E-2,7.035369873E-3,9.776769104E0
2.722626875E0,-3.203338623E-2,-6.885681152E-3,9.770631866E0
2.732673875E0,-2.529739380E-2,-2.544708252E-3,9.776469727E0
2.742720875E0,-2.260299683E-2,9.879455566E-3,9.775122528E0
2.752767875E0,-2.874023438E-2,2.694396973E-3,9.774224396E0
2.762815875E0,-2.424957275E-2,8.981323242E-4,9.776020660E0
