"event","experiment time","system time","system time text"
"START",0.000000000E0,1623146392.721,"2021-06-08 11:59:52.721 UTC+02:00"
"PAUSE",4.310735444E2,1623146823.794,"2021-06-08 12:07:03.794 UTC+02:00"
