"event","experiment time","system time","system time text"
"START",0.000000000E0,1622552565.353,"2021-06-01 15:02:45.353 UTC+02:00"
"PAUSE",7.490862496E1,1622552640.261,"2021-06-01 15:04:00.261 UTC+02:00"
