"event","experiment time","system time","system time text"
"START",0.000000000E0,1622047855.060,"2021-05-26 18:50:55.060 UTC+02:00"
"PAUSE",2.592424750E2,1622048114.303,"2021-05-26 18:55:14.303 UTC+02:00"
