"event","experiment time","system time","system time text"
"START",0.000000000E0,1622049283.617,"2021-05-26 19:14:43.617 UTC+02:00"
"PAUSE",1.559738396E2,1622049439.591,"2021-05-26 19:17:19.591 UTC+02:00"
