"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.500677083E-1,-8.312145947E-4,1.137150102E-3,1.875064336E-4
8.601147083E-1,-2.200565068E-4,1.213119831E-4,2.133718226E-4
8.701617083E-1,-9.723994881E-4,-2.802572679E-3,1.114585204E-3
8.802087083E-1,-2.404489089E-3,-2.380404389E-3,5.047558807E-5
8.902567083E-1,1.860563410E-3,-1.638181391E-3,-1.302143792E-3
9.003037083E-1,1.574071590E-3,-2.627789043E-3,-4.776057322E-4
9.103507083E-1,1.616416033E-3,3.272545291E-4,4.166837316E-4
9.203987083E-1,-3.395472886E-4,1.690925099E-3,-2.736820607E-3
9.304457083E-1,9.949626401E-4,-1.763727283E-3,1.218240010E-3
9.404927083E-1,3.703271504E-4,6.330126198E-4,1.550842542E-3
9.505397083E-1,-1.562861493E-3,1.374969375E-3,-2.586378250E-3
9.605877083E-1,1.464679837E-3,3.153724829E-4,6.642262451E-5
9.706347083E-1,1.212744974E-3,-2.827735152E-4,-2.439612057E-3
9.806817083E-1,1.681974391E-3,8.952714270E-4,5.223834887E-4
9.907297083E-1,2.455356298E-3,8.470682660E-4,-1.264549792E-5
1.000776708E0,-1.052958658E-3,1.464550616E-3,2.584715607E-3
1.010823708E0,1.055732369E-3,-4.183043493E-4,-5.452977493E-4
1.020870708E0,-6.493215915E-5,1.994432649E-3,-9.511094540E-4
1.030918708E0,-2.907682210E-4,-7.669991464E-4,-2.287750132E-3
1.040965708E0,2.896897495E-3,-2.130242065E-4,-1.568296808E-3
1.051012708E0,-1.375083812E-4,2.384090330E-3,-3.227363341E-4
1.061060708E0,1.386972144E-5,-5.401773960E-4,2.452149289E-3
1.071107708E0,-1.224233769E-3,5.679639289E-4,4.720890429E-4
1.081154708E0,-2.242812887E-3,2.169701038E-3,1.133340411E-4
1.091201708E0,1.947405050E-3,1.421619207E-3,-8.400622755E-5
1.101249708E0,-2.295063343E-3,-4.104630207E-4,1.609877218E-4
1.111296708E0,5.038245581E-5,-1.980929170E-3,-2.605905756E-4
1.121343708E0,3.171737771E-4,-1.598490402E-3,2.677175216E-4
1.131391708E0,-1.439447282E-3,1.170398202E-3,1.554024406E-3
1.141438708E0,2.648192458E-4,-1.364263007E-4,-1.996407751E-3
1.151485708E0,-3.098908346E-4,1.155739417E-3,-6.216838956E-4
1.161532708E0,5.297977477E-4,4.438816104E-4,1.403603237E-4
1.171580708E0,-1.524564577E-3,-8.392293239E-4,-1.593890134E-3
1.181627708E0,-1.008031657E-3,1.695898944E-3,-2.440745709E-3
1.191674708E0,1.607991522E-3,-1.495100558E-3,9.830142371E-4
1.201721708E0,-5.782265216E-4,9.988292586E-4,-1.676812535E-3
1.211769708E0,7.205971051E-4,5.471571349E-4,1.048133709E-3
1.221816708E0,1.967540476E-3,-1.160224201E-4,1.101928530E-3
1.231863708E0,-2.334529767E-3,-1.136279432E-3,1.486489316E-3
1.241911708E0,1.940132352E-3,-1.499648206E-4,4.449379630E-4
1.251959000E0,-1.497475896E-3,5.419244990E-4,6.574583240E-4
1.262006000E0,9.386334568E-6,-1.457019243E-5,1.157450024E-4
1.272053000E0,-5.179194268E-4,3.789411858E-5,1.414835220E-3
1.282101000E0,-2.608773997E-3,2.608576324E-5,9.694672190E-4
1.292148000E0,5.380171351E-4,-7.219961844E-4,-2.699835924E-3
1.302195000E0,-1.173551660E-3,6.923339097E-4,-3.036558861E-3
1.312243000E0,-5.109570920E-4,3.462287597E-3,1.103325048E-3
1.322290000E0,-4.782038741E-5,3.722303081E-4,-2.011449542E-4
1.332337000E0,-2.018826082E-3,7.663782453E-4,-1.413415885E-3
1.342384000E0,-7.025332889E-4,2.455032896E-3,5.550880451E-4
1.352432000E0,1.179866958E-4,2.704417566E-4,-2.935783472E-3
1.362479000E0,1.216307981E-3,6.182485959E-4,-1.512472518E-4
1.372526000E0,-8.463101694E-4,7.359603187E-4,-8.886763826E-4
1.382574000E0,-8.633085527E-4,1.767839422E-3,2.444517333E-3
1.392621000E0,-5.131075159E-5,9.784783470E-4,9.363689460E-4
1.402668000E0,1.444032649E-3,1.299983822E-3,-1.325158402E-3
1.412715000E0,-7.746468764E-4,1.721350709E-4,-2.058316022E-4
1.422763000E0,4.859082401E-4,7.280979771E-4,-2.298506210E-3
1.432810000E0,-1.282697078E-3,-8.189323125E-4,6.163236685E-4
1.442857000E0,1.616748981E-3,-3.942746553E-4,-6.674292963E-4
1.452904000E0,2.418627031E-3,3.743136767E-4,-1.256254269E-3
1.462952000E0,1.482493244E-3,-1.363578020E-3,-8.644384798E-4
1.472999000E0,-1.252570655E-4,2.057518810E-3,-6.828107871E-4
1.483046000E0,-1.502585365E-4,-2.494987566E-4,-7.129856385E-4
1.493094000E0,9.522901382E-4,3.260103986E-4,9.917039424E-4
1.503141000E0,-1.198662445E-3,3.991838312E-4,-1.289431239E-3
1.513188000E0,3.845868632E-4,-6.591563579E-4,-7.682507858E-4
