"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.253882320E-1,5.629374459E-2,1.115095258E0,9.635213852E0
2.279014610E-1,2.754800394E-2,1.167795777E0,9.630422592E0
2.304146900E-1,5.090392008E-2,1.186959624E0,9.620841026E0
2.329279190E-1,-4.431635141E-2,1.163004875E0,9.653778076E0
2.354411480E-1,7.785305381E-3,1.167795777E0,9.616049767E0
2.379543770E-1,-6.587565877E-3,1.196541548E0,9.658569336E0
2.404676070E-1,7.785305381E-3,1.149230838E0,9.615450859E0
2.429807840E-1,-2.096043713E-2,1.201931357E0,9.591496468E0
2.454940130E-1,1.676834933E-2,1.206722260E0,9.667552948E0
2.480072420E-1,-7.186435629E-3,1.192349434E0,9.629224777E0
2.505204710E-1,-2.395478543E-3,1.149230838E0,9.553168297E0
2.530337000E-1,-2.994348295E-3,1.182767510E0,9.567541122E0
2.555469290E-1,2.575139515E-2,1.168993473E0,9.567541122E0
2.580601590E-1,2.575139515E-2,1.149829745E0,9.590897560E0
2.605733880E-1,5.988696590E-3,1.125874877E0,9.576524734E0
2.630866170E-1,5.988696590E-3,1.145038724E0,9.680727959E0
2.655998460E-1,5.988696590E-3,1.149829745E0,9.680727959E0
2.681130750E-1,1.557061076E-2,1.116891861E0,9.614253044E0
2.706263040E-1,3.413556889E-2,1.131264687E0,9.580716133E0
2.731395340E-1,6.288131326E-2,1.136055708E0,9.613654137E0
2.756527630E-1,7.186435908E-2,1.097728014E0,9.680129051E0
2.781659920E-1,3.832765669E-2,1.055208325E0,9.699292183E0
2.806792210E-1,8.623722941E-2,1.055208325E0,9.684919357E0
2.831924500E-1,7.186435908E-2,1.079163074E0,9.684919357E0
2.857056790E-1,7.126548886E-2,1.088744998E0,9.703484535E0
2.882189090E-1,9.042931348E-2,1.036044478E0,9.769959450E0
2.907321380E-1,6.168357283E-2,1.088744998E0,9.769959450E0
2.932453670E-1,4.731070250E-2,1.051016212E0,9.774150848E0
2.957585960E-1,2.754800394E-2,1.074970961E0,9.702885628E0
2.982718250E-1,6.587565690E-2,1.103716731E0,9.754987717E0
3.007850540E-1,6.587565690E-2,1.098925829E0,9.698095322E0
3.032982840E-1,6.527678668E-2,1.113298655E0,9.659767151E0
3.058115130E-1,4.611296207E-2,1.084552884E0,9.650185585E0
3.083247420E-1,2.994348295E-3,1.080360770E0,9.564546585E0
3.108379710E-1,1.736721955E-2,1.089942694E0,9.559756279E0
3.133512000E-1,5.509600788E-2,1.128270388E0,9.478908539E0
