"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.052823980E-1,-1.691105776E-2,-6.005423144E-2,-2.862895653E-2
2.077956270E-1,-1.691105776E-2,-6.964160502E-2,-2.862895653E-2
2.103088570E-1,-1.797632128E-2,-7.922897488E-2,-3.289001063E-2
2.128220860E-1,-2.543316595E-2,-8.775108308E-2,-3.502053767E-2
2.153353150E-1,-2.436790243E-2,-9.414266050E-2,-3.715106472E-2
2.178485440E-1,-2.223737538E-2,-9.520792961E-2,-3.715106472E-2
2.203617730E-1,-2.649842948E-2,-9.414266050E-2,-4.034685716E-2
2.228750020E-1,-2.649842948E-2,-9.627319127E-2,-4.141211882E-2
2.253882320E-1,-2.649842948E-2,-9.094687551E-2,-4.247738421E-2
2.279014610E-1,-2.436790243E-2,-8.881634474E-2,-4.354264587E-2
2.304146900E-1,-2.756369300E-2,-8.455529064E-2,-4.247738421E-2
2.329279190E-1,-2.543316595E-2,-8.029423654E-2,-4.034685716E-2
2.354411480E-1,-2.223737538E-2,-7.709844410E-2,-3.928159177E-2
2.379543770E-1,-1.904158480E-2,-7.177212834E-2,-3.502053767E-2
2.404676070E-1,-1.904158480E-2,-6.751107424E-2,-3.395527601E-2
2.429807840E-1,-1.584579423E-2,-6.325002015E-2,-3.502053767E-2
2.454940130E-1,-1.584579423E-2,-5.579317734E-2,-2.862895653E-2
2.480072420E-1,-9.454214014E-3,-5.046685785E-2,-2.543316595E-2
2.505204710E-1,-8.388950489E-3,-4.407527670E-2,-2.330263890E-2
2.530337000E-1,-7.323686965E-3,-4.087948799E-2,-2.223737538E-2
2.555469290E-1,-5.193159916E-3,-3.342264146E-2,-2.330263890E-2
2.580601590E-1,1.331579406E-4,-2.809632570E-2,-2.117211185E-2
2.605733880E-1,1.331579406E-4,-2.063948102E-2,-1.797632128E-2
2.630866170E-1,4.394211806E-3,-1.637842692E-2,-1.691105776E-2
2.655998460E-1,7.590002380E-3,-1.744369045E-2,-1.904158480E-2
2.681130750E-1,1.078579295E-2,-1.424789988E-2,-1.691105776E-2
2.706263040E-1,1.185105648E-2,-9.986845776E-3,-1.691105776E-2
2.731395340E-1,1.504684705E-2,-5.725791678E-3,-1.478053164E-2
2.756527630E-1,1.611211151E-2,-2.530000871E-3,-1.478053164E-2
2.781659920E-1,1.717737503E-2,1.731053228E-3,-1.691105776E-2
2.806792210E-1,2.037316561E-2,1.731053228E-3,-1.584579423E-2
2.831924500E-1,2.463421971E-2,6.657897029E-4,-2.010684833E-2
2.857056790E-1,2.250369266E-2,5.992107093E-3,-1.797632128E-2
2.882189090E-1,2.356895618E-2,3.861580277E-3,-2.010684833E-2
2.907321380E-1,2.889527380E-2,1.731053228E-3,-2.117211185E-2
2.932453670E-1,2.783001028E-2,-6.657897029E-3,-2.223737538E-2
2.957585960E-1,2.783001028E-2,-9.853687137E-3,-2.010684833E-2
2.982718250E-1,2.569948323E-2,-1.198421419E-2,-2.756369300E-2
3.007850540E-1,2.356895618E-2,-2.050632238E-2,-2.436790243E-2
3.032982840E-1,1.824263856E-2,-2.583264001E-2,-2.436790243E-2
3.058115130E-1,1.398158353E-2,-3.542001173E-2,-2.756369300E-2
3.083247420E-1,3.328948515E-3,-4.500738531E-2,-3.075948358E-2
3.108379710E-1,-1.997369109E-3,-4.607264698E-2,-2.649842948E-2
3.133512000E-1,-1.158474106E-2,-4.607264698E-2,-2.543316595E-2
3.158644290E-1,-2.330263890E-2,-4.820317402E-2,-2.543316595E-2
3.183776590E-1,-3.289001063E-2,-4.181159288E-2,-2.756369300E-2
3.208908880E-1,-3.928159177E-2,-4.074633121E-2,-2.756369300E-2
3.234041170E-1,-4.780369997E-2,-4.500738531E-2,-2.436790243E-2
3.259173460E-1,-6.165212765E-2,-4.287685826E-2,-2.436790243E-2
3.284305750E-1,-6.364949793E-2,-4.394211993E-2,-2.223737538E-2
3.309437520E-1,-7.110633701E-2,-4.607264698E-2,-2.117211185E-2
3.334569820E-1,-7.962844521E-2,-4.713791236E-2,-2.117211185E-2
3.359702110E-1,-8.602003008E-2,-4.713791236E-2,-1.797632128E-2
3.384834400E-1,-8.921582252E-2,-4.607264698E-2,-1.478053164E-2
3.409966690E-1,-9.134634584E-2,-3.968106583E-2,-1.478053164E-2
3.435098980E-1,-8.815055341E-2,-3.115895763E-2,-1.371526811E-2
3.460231270E-1,-8.815055341E-2,-2.796316706E-2,-1.371526811E-2
3.485363570E-1,-8.495476842E-2,-2.689790353E-2,-1.265000459E-2
3.510495860E-1,-7.749792188E-2,-1.944105886E-2,-1.265000459E-2
3.535628150E-1,-6.791055202E-2,-9.853687137E-3,-1.051947754E-2
3.560760440E-1,-6.045370549E-2,-1.411474124E-2,-1.051947754E-2
3.585892730E-1,-5.512738600E-2,-7.723160554E-3,-7.323686965E-3
3.611025020E-1,-4.447475076E-2,7.989476435E-4,-8.388950489E-3
3.636157320E-1,-3.488738090E-2,8.255792782E-3,-1.158474106E-2
3.661289610E-1,-2.636527270E-2,1.251684688E-2,-1.158474106E-2
3.686421900E-1,-1.677790098E-2,1.464737393E-2,-7.323686965E-3
3.711554190E-1,-2.929474693E-3,1.358211040E-2,-8.388950489E-3
3.736686480E-1,8.788423613E-3,1.571263745E-2,-8.388950489E-3
3.761818770E-1,1.411474124E-2,1.145158336E-2,-6.258423440E-3
3.786951070E-1,2.263684943E-2,6.125265267E-3,-8.388950489E-3
3.812083360E-1,3.009369411E-2,1.864211168E-3,-7.323686965E-3
3.837215650E-1,3.755053878E-2,7.989476435E-4,-7.323686965E-3
3.862347940E-1,3.755053878E-2,-3.462106455E-3,-9.454214014E-3
3.887480230E-1,3.968106583E-2,-6.657897029E-3,-1.265000459E-2
3.912612520E-1,3.755053878E-2,-6.657897029E-3,-1.371526811E-2
3.937744820E-1,3.648527712E-2,-6.657897029E-3,-1.478053164E-2
3.962877110E-1,3.542001173E-2,-6.657897029E-3,-1.371526811E-2
3.988009400E-1,3.009369411E-2,-7.723160554E-3,-1.265000459E-2
4.013141690E-1,2.689790353E-2,-5.592633504E-3,-1.584579423E-2
4.038273980E-1,2.263684943E-2,-4.527369980E-3,-1.584579423E-2
4.063406270E-1,1.731053181E-2,-5.592633504E-3,-1.265000459E-2
4.088538570E-1,1.198421419E-2,-2.396842930E-3,-2.010684833E-2
4.113670860E-1,6.657897029E-3,-1.331579406E-3,-1.584579423E-2
4.138803150E-1,-7.989476435E-4,-1.331579406E-3,-1.478053164E-2
4.163934920E-1,-8.255792782E-3,-2.663158812E-4,-1.371526811E-2
4.189067210E-1,-1.571263745E-2,7.989476435E-4,-1.158474106E-2
4.214199500E-1,-2.103895508E-2,-2.396842930E-3,-9.454214014E-3
4.239331790E-1,-2.530000918E-2,-1.331579406E-3,-9.454214014E-3
4.264464090E-1,-3.169158846E-2,-2.396842930E-3,-8.388950489E-3
4.289596380E-1,-3.701790795E-2,-4.527369980E-3,-6.258423440E-3
4.314728670E-1,-4.021369666E-2,-6.657897029E-3,-4.127896391E-3
4.339860960E-1,-4.340948910E-2,-6.657897029E-3,-3.062632633E-3
4.364993250E-1,-4.660527781E-2,-8.788423613E-3,1.331579406E-4
4.390125540E-1,-4.660527781E-2,-1.091895066E-2,-3.062632633E-3
4.415257840E-1,-4.447475076E-2,-8.788423613E-3,-1.997369109E-3
4.440390130E-1,-4.873580486E-2,-1.411474124E-2,-3.062632633E-3
4.465522420E-1,-4.980107024E-2,-1.518000476E-2,-9.321055841E-4
4.490654710E-1,-4.554001614E-2,-1.624526829E-2,-9.321055841E-4
4.515787000E-1,-4.234422371E-2,-2.157158591E-2,1.331579406E-4
4.540919290E-1,-4.127896205E-2,-1.731053181E-2,1.331579406E-4
4.566051590E-1,-3.701790795E-2,-1.304947771E-2,-4.127896391E-3
4.591183880E-1,-3.275685385E-2,-1.731053181E-2,-4.127896391E-3
4.616316170E-1,-3.275685385E-2,-1.411474124E-2,-4.127896391E-3
4.641448460E-1,-2.849579975E-2,-7.723160554E-3,-1.997369109E-3
4.666580750E-1,-2.210421860E-2,-5.592633504E-3,-1.997369109E-3
4.691713040E-1,-1.571263745E-2,-3.462106455E-3,-4.127896391E-3
4.716845340E-1,-7.190528791E-3,2.929474693E-3,-4.127896391E-3
4.741977630E-1,-7.190528791E-3,2.929474693E-3,-5.193159916E-3
4.767109920E-1,-7.989476435E-4,6.125265267E-3,-6.258423440E-3
4.792242210E-1,5.592633504E-3,1.038631983E-2,-4.127896391E-3
