"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.056952920E-1,-5.743101835E-1,7.396923304E-1,4.793685675E-2
2.082082600E-1,-5.657880902E-1,7.237133980E-1,4.687159508E-2
2.107212290E-1,-5.551354289E-1,7.056038976E-1,4.793685675E-2
2.132341980E-1,-5.434175730E-1,6.906902194E-1,5.432844162E-2
2.157471150E-1,-5.316996574E-1,6.747112870E-1,5.645896494E-2
2.182600830E-1,-5.189164877E-1,6.587323546E-1,6.178528443E-2
2.207730520E-1,-5.040028095E-1,6.406228542E-1,5.965475738E-2
2.232860210E-1,-4.880238473E-1,6.225133538E-1,5.965475738E-2
2.257989900E-1,-4.731101692E-1,6.075996757E-1,6.178528443E-2
2.283119580E-1,-4.592617452E-1,5.937512517E-1,6.072001904E-2
2.308248750E-1,-4.422175288E-1,5.799028277E-1,5.965475738E-2
2.333378440E-1,-4.294343591E-1,5.671196580E-1,6.072001904E-2
2.358508130E-1,-4.166511893E-1,5.490102172E-1,6.178528443E-2
2.383637810E-1,-3.974764645E-1,5.330312252E-1,6.178528443E-2
2.408767500E-1,-3.814975023E-1,5.149217844E-1,6.178528443E-2
2.433897190E-1,-3.644532859E-1,4.968122840E-1,6.178528443E-2
2.459026350E-1,-3.538006544E-1,4.797680676E-1,6.604634225E-2
2.484156040E-1,-3.356911540E-1,4.605933130E-1,6.711160392E-2
2.509285730E-1,-3.197122216E-1,4.424838424E-1,6.924212724E-2
2.534415420E-1,-3.026680052E-1,4.233090878E-1,7.350318134E-2
2.559545100E-1,-2.856237888E-1,3.988080323E-1,7.669897377E-2
2.584674790E-1,-2.664490342E-1,3.753722310E-1,8.096002787E-2
2.609803960E-1,-2.515353560E-1,3.519364297E-1,8.415582031E-2
2.634933650E-1,-2.355563939E-1,3.253048360E-1,8.735160530E-2
2.660063330E-1,-2.163816541E-1,2.976079881E-1,9.161266685E-2
2.685193020E-1,-1.993374377E-1,2.677806318E-1,9.480845183E-2
2.710322710E-1,-1.790974289E-1,2.443448156E-1,9.374319017E-2
2.735451880E-1,-1.631184816E-1,2.123869210E-1,9.587371349E-2
2.760581560E-1,-1.471395195E-1,1.836248040E-1,1.001347750E-1
2.785711250E-1,-1.322258413E-1,1.516668946E-1,9.906950593E-2
2.810840940E-1,-1.162468791E-1,1.229047775E-1,1.022652984E-1
2.835970630E-1,-9.920266271E-2,9.201213717E-2,1.001347750E-1
2.861100310E-1,-8.748476952E-2,6.644581258E-2,1.012000367E-1
2.886229480E-1,-7.683213055E-2,4.407527670E-2,9.693898261E-2
2.911359170E-1,-6.298370659E-2,2.596579865E-2,9.693898261E-2
2.936488850E-1,-5.446159840E-2,3.595264396E-3,1.001347750E-1
2.961618540E-1,-4.487422481E-2,-8.122634143E-3,1.001347750E-1
2.986748230E-1,-4.061317071E-2,-1.451421529E-2,1.001347750E-1
3.011877920E-1,-3.422158957E-2,-1.771000586E-2,1.043958217E-1
3.037007080E-1,-3.315632790E-2,-1.771000586E-2,1.086568832E-1
3.062136770E-1,-3.209106252E-2,-1.877526939E-2,1.086568832E-1
3.087266460E-1,-3.209106252E-2,-1.238368824E-2,1.171789914E-1
3.112396150E-1,-3.102580085E-2,-3.861580277E-3,1.225053072E-1
3.137525830E-1,-3.102580085E-2,3.994738217E-4,1.257010996E-1
3.162655520E-1,-3.315632790E-2,6.791055202E-3,1.310274154E-1
3.187784690E-1,-3.635211661E-2,9.986845776E-3,1.320926845E-1
3.212914380E-1,-3.848264366E-2,1.744369045E-2,1.320926845E-1
3.238044060E-1,-4.061317071E-2,2.596579865E-2,1.342232078E-1
3.263173750E-1,-4.700475186E-2,3.555316851E-2,1.320926845E-1
3.288303440E-1,-4.807001725E-2,4.407527670E-2,1.320926845E-1
3.313433130E-1,-5.126580596E-2,5.685843900E-2,1.288968921E-1
3.338562290E-1,-5.233107135E-2,6.857633591E-2,1.278316230E-1
3.363691980E-1,-5.233107135E-2,7.709844410E-2,1.257010996E-1
3.388821670E-1,-5.339633301E-2,8.562055230E-2,1.246358305E-1
3.413951350E-1,-5.446159840E-2,9.414266050E-2,1.203747764E-1
3.439081040E-1,-5.552686006E-2,1.037300378E-1,1.214400381E-1
3.464210210E-1,-5.020054430E-2,1.122521460E-1,1.203747764E-1
3.489339900E-1,-4.487422481E-2,1.165132001E-1,1.182442531E-1
3.514469580E-1,-4.700475186E-2,1.239700392E-1,1.139831990E-1
3.539599270E-1,-4.274369776E-2,1.250353009E-1,1.097221449E-1
3.564728960E-1,-3.848264366E-2,1.271658391E-1,1.033305600E-1
3.589858650E-1,-3.315632790E-2,1.261005700E-1,1.001347750E-1
3.614987810E-1,-2.783001028E-2,1.207742542E-1,9.480845183E-2
3.640117500E-1,-2.569948323E-2,1.175784618E-1,8.841687441E-2
3.665247190E-1,-1.824263856E-2,1.122521460E-1,8.309055865E-2
3.690376880E-1,-1.291632000E-2,1.037300378E-1,7.776423544E-2
3.715506560E-1,-1.078579295E-2,9.733845294E-2,7.243791968E-2
3.740636250E-1,-2.263684990E-3,9.307739884E-2,6.604634225E-2
3.765765420E-1,-1.331579406E-4,8.668582141E-2,6.178528443E-2
3.790895100E-1,8.388950489E-3,7.603318244E-2,5.752423033E-2
3.816024790E-1,1.371526811E-2,7.070686668E-2,5.432844162E-2
3.841154480E-1,1.371526811E-2,6.431528181E-2,4.900212213E-2
3.866284170E-1,1.797632128E-2,6.005423144E-2,4.367580265E-2
