"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.232860210E-1,4.563386738E-1,1.344462276E0,1.004484081E1
2.257989900E-1,3.611183763E-1,1.282179832E0,1.008256912E1
2.283119580E-1,3.802822232E-1,1.310925603E0,1.002567673E1
2.308248750E-1,3.515364826E-1,1.282179832E0,1.002088547E1
2.333378440E-1,2.563162148E-1,1.291761756E0,1.005921364E1
2.358508130E-1,2.515252531E-1,1.301343679E0,1.006819630E1
2.383637810E-1,2.084066272E-1,1.315716624E0,1.006819630E1
2.408767500E-1,2.084066272E-1,1.239660144E0,9.996931076E0
2.433897190E-1,1.652880162E-1,1.234869242E0,1.001130390E1
2.459026350E-1,1.419321001E-1,1.220496297E0,1.002088547E1
2.484156040E-1,1.467230618E-1,1.306134701E0,1.003525829E1
2.509285730E-1,1.131863594E-1,1.286970854E0,9.992139816E0
2.534415420E-1,2.754800394E-2,1.210914373E0,9.996931076E0
2.559545100E-1,1.796608977E-2,1.206123471E0,1.002567673E1
2.584674790E-1,3.653104603E-2,1.210914373E0,9.987947464E0
2.609803960E-1,1.317513175E-2,1.191750526E0,9.992139816E0
2.634933650E-1,3.593217814E-3,1.191750526E0,9.978365898E0
2.660063330E-1,3.593217814E-3,1.191750526E0,9.978365898E0
2.685193020E-1,-2.515252493E-2,1.215705395E0,9.963993073E0
2.710322710E-1,-2.515252493E-2,1.177377701E0,9.935247421E0
2.735451880E-1,-2.515252493E-2,1.129468083E0,9.992139816E0
2.760581560E-1,-3.473443910E-2,1.172586799E0,9.978365898E0
2.785711250E-1,-6.348018348E-2,1.158213854E0,9.959201813E0
2.810840940E-1,-2.515252493E-2,1.148631930E0,1.001130390E1
2.835970630E-1,-1.077965368E-2,1.163004875E0,9.925664902E0
2.861100310E-1,-3.952539712E-2,1.167795777E0,9.987947464E0
2.886229480E-1,-3.473443910E-2,1.172586799E0,9.902309418E0
2.911359170E-1,1.317513175E-2,1.215705395E0,9.826252937E0
2.936488850E-1,3.233896196E-2,1.215705395E0,9.849609375E0
2.961618540E-1,-3.473443910E-2,1.186959624E0,9.783134460E0
2.986748230E-1,5.569487438E-2,1.172586799E0,9.735823631E0
3.011877920E-1,5.090392008E-2,1.267807007E0,9.754987717E0
3.037007080E-1,3.653104603E-2,1.267807007E0,9.731032372E0
3.062136770E-1,3.233896196E-2,1.244451046E0,9.698095322E0
3.087266460E-1,2.275704592E-2,1.230078220E0,9.726242065E0
3.112396150E-1,9.881348908E-2,1.253434181E0,9.735823631E0
3.137525830E-1,1.323501915E-1,1.220496297E0,9.721450806E0
3.162655520E-1,1.467230618E-1,1.267807007E0,9.654975891E0
3.187784690E-1,1.700789779E-1,1.267807007E0,9.716659546E0
3.212914380E-1,2.036156803E-1,1.258225083E0,9.778343201E0
3.238044060E-1,2.940450013E-1,1.267807007E0,9.783134460E0
3.263173750E-1,3.707002997E-1,1.272598028E0,9.731032372E0
3.288303440E-1,3.659093380E-1,1.282179832E0,9.740614891E0
3.313433130E-1,3.802822232E-1,1.310925603E0,9.811880112E0
3.338562290E-1,4.132200480E-1,1.344462276E0,9.883145332E0
3.363691980E-1,4.084290862E-1,1.344462276E0,9.868772507E0
3.388821670E-1,4.419657886E-1,1.354044199E0,9.868772507E0
3.413951350E-1,5.371860862E-1,1.363626122E0,9.902309418E0
3.439081040E-1,5.515589118E-1,1.363626122E0,9.902309418E0
3.464210210E-1,5.850956440E-1,1.368417144E0,9.930456161E0
3.489339900E-1,5.755137205E-1,1.354044199E0,9.973574638E0
3.514469580E-1,6.042594910E-1,1.373208046E0,1.000651264E1
3.539599270E-1,5.946775675E-1,1.368417144E0,1.003046799E1
3.564728960E-1,5.659317970E-1,1.392371893E0,1.000172138E1
3.589858650E-1,6.234232783E-1,1.397162914E0,9.978365898E0
3.614987810E-1,6.377961636E-1,1.406744719E0,1.002567673E1
3.640117500E-1,6.521690488E-1,1.445072412E0,1.000651264E1
3.665247190E-1,6.898978353E-1,1.416326642E0,1.005442238E1
3.690376880E-1,6.521690488E-1,1.382789969E0,9.959201813E0
3.715506560E-1,6.611520648E-1,1.411535740E0,1.006819630E1
3.740636250E-1,6.282142401E-1,1.397162914E0,1.003525829E1
3.765765420E-1,6.234232783E-1,1.416326642E0,9.992139816E0
3.790895100E-1,6.521690488E-1,1.411535740E0,9.987947464E0
3.816024790E-1,6.042594910E-1,1.435490489E0,9.973574638E0
3.841154480E-1,5.994685292E-1,1.430699587E0,9.959201813E0
3.866284170E-1,5.946775675E-1,1.469027162E0,9.963993073E0
3.891413850E-1,5.707227588E-1,1.454654336E0,9.996931076E0
3.916543020E-1,5.419770479E-1,1.421117663E0,9.892727852E0
3.941672710E-1,4.994572699E-1,1.406744719E0,9.897518158E0
3.966802400E-1,5.371860862E-1,1.397162914E0,9.883145332E0
3.991932080E-1,4.994572699E-1,1.425908566E0,9.963993073E0
4.017061770E-1,5.090391636E-1,1.454654336E0,9.911890984E0
4.042191460E-1,4.707115293E-1,1.469027162E0,9.883145332E0
4.067320630E-1,4.850844145E-1,1.430699587E0,9.935247421E0
4.092450310E-1,4.802934527E-1,1.421117663E0,9.916083336E0
4.117580000E-1,4.563386738E-1,1.382789969E0,9.963993073E0
4.142709690E-1,4.275929332E-1,1.344462276E0,9.911890984E0
4.167839380E-1,4.563386738E-1,1.387580991E0,9.911890984E0
4.192968540E-1,4.323838651E-1,1.368417144E0,9.949620247E0
4.218098230E-1,3.850731850E-1,1.373208046E0,9.897518158E0
4.243227920E-1,3.467455208E-1,1.416326642E0,9.883145332E0
4.268357600E-1,3.754912615E-1,1.387580991E0,9.992139816E0
4.293487290E-1,3.371635973E-1,1.411535740E0,9.916083336E0
4.318616980E-1,3.084178567E-1,1.392371893E0,9.973574638E0
4.343746150E-1,3.179997802E-1,1.377999067E0,9.983157158E0
4.368875830E-1,3.036268950E-1,1.354044199E0,9.987947464E0
4.394005520E-1,2.275704592E-1,1.387580991E0,1.004004955E1
4.419135210E-1,2.467342913E-1,1.354044199E0,9.954411507E0
4.444264900E-1,2.227794975E-1,1.339671373E0,9.949620247E0
4.469394060E-1,2.323614210E-1,1.334880471E0,9.978365898E0
4.494524790E-1,2.131975889E-1,1.368417144E0,9.916083336E0
4.519655000E-1,1.844518483E-1,1.392371893E0,9.897518158E0
4.544785210E-1,2.179885507E-1,1.354044199E0,9.930456161E0
4.569915940E-1,1.275592297E-1,1.358835220E0,9.863982201E0
4.595046150E-1,1.131863594E-1,1.349253297E0,9.859190941E0
4.620176350E-1,1.275592297E-1,1.382789969E0,9.863982201E0
4.645306560E-1,8.444061875E-2,1.387580991E0,9.811880112E0
4.670437290E-1,7.006774843E-2,1.382789969E0,9.802298546E0
4.695567500E-1,7.964966446E-2,1.334880471E0,9.711869240E0
4.720697710E-1,5.569487438E-2,1.358835220E0,9.688512802E0
4.745827920E-1,4.132200405E-2,1.325298548E0,9.664558411E0
4.770958650E-1,3.233896196E-2,1.373208046E0,9.650185585E0
4.796088850E-1,-1.557061076E-2,1.411535740E0,9.631021500E0
4.821219060E-1,1.796608977E-2,1.387580991E0,9.607666016E0
4.846349790E-1,2.275704592E-2,1.397162914E0,9.583710670E0
4.871480000E-1,3.653104603E-2,1.430699587E0,9.498072624E0
4.896610210E-1,6.048583239E-2,1.430699587E0,9.522027016E0
4.921740420E-1,6.527678668E-2,1.401953816E0,9.483699799E0
4.946871150E-1,8.923157305E-2,1.392371893E0,9.502862930E0
4.972001350E-1,1.323501915E-1,1.435490489E0,9.488490105E0
4.997131560E-1,1.371411532E-1,1.449863434E0,9.455553055E0
5.022261770E-1,1.179773211E-1,1.464236259E0,9.469925880E0
5.047392500E-1,1.371411532E-1,1.454654336E0,9.483699799E0
5.072522710E-1,1.748699397E-1,1.454654336E0,9.488490105E0
5.097652920E-1,2.179885507E-1,1.445072412E0,9.517236710E0
5.122783130E-1,2.131975889E-1,1.464236259E0,9.502862930E0
5.147913850E-1,2.275704592E-1,1.440281510E0,9.488490105E0
5.173044060E-1,2.323614210E-1,1.478010297E0,9.526818275E0
5.198174270E-1,2.275704592E-1,1.454654336E0,9.536399841E0
5.223305000E-1,2.179885507E-1,1.449863434E0,9.602874756E0
5.248435210E-1,2.563162148E-1,1.473818183E0,9.626230240E0
5.273565420E-1,2.323614210E-1,1.482801199E0,9.645394325E0
5.298695630E-1,2.323614210E-1,1.469027162E0,9.650185585E0
5.323826350E-1,2.658981085E-1,1.430699587E0,9.626230240E0
5.348956560E-1,2.467342913E-1,1.454654336E0,9.626230240E0
5.374086770E-1,2.658981085E-1,1.445072412E0,9.669348717E0
5.399216980E-1,2.467342913E-1,1.421117663E0,9.716659546E0
5.424347710E-1,2.323614210E-1,1.430699587E0,9.698095322E0
5.449477920E-1,2.658981085E-1,1.469027162E0,9.726242065E0
5.474608130E-1,2.467342913E-1,1.425908566E0,9.674139977E0
5.499738850E-1,2.227794975E-1,1.425908566E0,9.669348717E0
5.524869060E-1,2.131975889E-1,1.425908566E0,9.764569283E0
5.549999270E-1,2.179885507E-1,1.445072412E0,9.735823631E0
5.575129480E-1,2.754800320E-1,1.421117663E0,9.740614891E0
5.600260210E-1,2.419433296E-1,1.421117663E0,9.716659546E0
5.625390420E-1,2.467342913E-1,1.440281510E0,9.716659546E0
5.650520630E-1,2.658981085E-1,1.464236259E0,9.750196457E0
5.675650830E-1,2.275704592E-1,1.401953816E0,9.711869240E0
5.700781560E-1,2.754800320E-1,1.435490489E0,9.769360542E0
5.725911770E-1,2.706890702E-1,1.473818183E0,9.797507286E0
5.751041980E-1,2.611071467E-1,1.416326642E0,9.769360542E0
5.776172710E-1,2.988359630E-1,1.401953816E0,9.783134460E0
5.801302920E-1,3.084178567E-1,1.406744719E0,9.797507286E0
5.826433130E-1,2.892540395E-1,1.406744719E0,9.783134460E0
5.851563330E-1,2.802709937E-1,1.382789969E0,9.807088852E0
5.876694060E-1,3.179997802E-1,1.377999067E0,9.778343201E0
5.901824270E-1,2.658981085E-1,1.421117663E0,9.811880112E0
5.926954480E-1,2.563162148E-1,1.425908566E0,9.863982201E0
5.952084690E-1,3.227907419E-1,1.492383122E0,9.783134460E0
5.977215420E-1,3.275817037E-1,1.449863434E0,9.759778023E0
6.002345630E-1,2.706890702E-1,1.482801199E0,9.750196457E0
6.027475830E-1,2.754800320E-1,1.449863434E0,9.783134460E0
6.052606560E-1,3.084178567E-1,1.382789969E0,9.773552895E0
6.077736770E-1,3.179997802E-1,1.382789969E0,9.797507286E0
6.102866980E-1,3.467455208E-1,1.449863434E0,9.844818115E0
6.127997190E-1,3.419545591E-1,1.430699587E0,9.859190941E0
6.153127920E-1,3.179997802E-1,1.430699587E0,9.792716026E0
6.178258130E-1,3.563274443E-1,1.406744719E0,9.844818115E0
6.203388330E-1,2.515252531E-1,1.445072412E0,9.735823631E0
6.228518540E-1,2.658981085E-1,1.421117663E0,9.716659546E0
6.253649270E-1,3.179997802E-1,1.445072412E0,9.778343201E0
6.278779480E-1,3.084178567E-1,1.459445357E0,9.831044197E0
6.303909690E-1,2.892540395E-1,1.363626122E0,9.826252937E0
6.329040420E-1,2.988359630E-1,1.406744719E0,9.787925720E0
6.354170630E-1,2.940450013E-1,1.435490489E0,9.783134460E0
6.379300830E-1,2.892540395E-1,1.430699587E0,9.769360542E0
6.404431040E-1,2.892540395E-1,1.473818183E0,9.731032372E0
6.429561770E-1,2.844630778E-1,1.492383122E0,9.721450806E0
6.454691980E-1,3.036268950E-1,1.473818183E0,9.674139977E0
6.479822190E-1,3.227907419E-1,1.449863434E0,9.698095322E0
6.504952400E-1,3.419545591E-1,1.454654336E0,9.622038841E0
6.530083130E-1,3.275817037E-1,1.473818183E0,9.598083496E0
6.555213330E-1,3.323726356E-1,1.482801199E0,9.626230240E0
6.580343540E-1,3.179997802E-1,1.459445357E0,9.612456322E0
6.605474270E-1,3.227907419E-1,1.511546969E0,9.612456322E0
6.630604480E-1,3.084178567E-1,1.521128893E0,9.554965019E0
6.655734690E-1,2.940450013E-1,1.554665565E0,9.517236710E0
6.680864900E-1,3.563274443E-1,1.497174144E0,9.545982361E0
6.705995630E-1,3.754912615E-1,1.459445357E0,9.512445450E0
6.731125830E-1,3.898641467E-1,1.506755948E0,9.526818275E0
6.756256040E-1,3.898641467E-1,1.506755948E0,9.512445450E0
6.781386250E-1,4.042370021E-1,1.511546969E0,9.526818275E0
6.806516980E-1,4.084290862E-1,1.511546969E0,9.507654190E0
6.831647190E-1,3.850731850E-1,1.492383122E0,9.569337845E0
6.856777400E-1,3.611183763E-1,1.549874663E0,9.588501930E0
6.881907600E-1,3.563274443E-1,1.549874663E0,9.664558411E0
6.907038330E-1,3.419545591E-1,1.535501719E0,9.664558411E0
6.932168540E-1,3.994460404E-1,1.540292740E0,9.654975891E0
6.957298750E-1,3.898641467E-1,1.540292740E0,9.721450806E0
6.982429480E-1,3.132088184E-1,1.516337872E0,9.721450806E0
7.007559690E-1,3.419545591E-1,1.506755948E0,9.740614891E0
7.032689900E-1,3.754912615E-1,1.564247489E0,9.716659546E0
7.057820100E-1,3.467455208E-1,1.535501719E0,9.807088852E0
7.082950830E-1,3.179997802E-1,1.501965046E0,9.868772507E0
7.108081040E-1,3.132088184E-1,1.506755948E0,9.807088852E0
7.133211250E-1,3.419545591E-1,1.511546969E0,9.902309418E0
7.158341460E-1,3.227907419E-1,1.564247489E0,9.902309418E0
7.183472190E-1,3.084178567E-1,1.573829412E0,9.902309418E0
7.208602400E-1,3.419545591E-1,1.564247489E0,9.878355026E0
7.233732600E-1,2.802709937E-1,1.583411336E0,9.868772507E0
7.258863330E-1,3.323726356E-1,1.545083642E0,9.959201813E0
7.283993540E-1,3.659093380E-1,1.559456587E0,9.883145332E0
7.309123750E-1,2.802709937E-1,1.549874663E0,9.887936592E0
7.334253960E-1,2.802709937E-1,1.535501719E0,9.916083336E0
7.359384690E-1,3.179997802E-1,1.506755948E0,9.878355026E0
7.384514900E-1,3.467455208E-1,1.530710816E0,9.840625763E0
7.409645100E-1,2.988359630E-1,1.554665565E0,9.835834503E0
7.434775310E-1,3.371635973E-1,1.525919795E0,9.863982201E0
7.459906040E-1,3.132088184E-1,1.573829412E0,9.854399681E0
7.485036250E-1,3.323726356E-1,1.545083642E0,9.849609375E0
7.510166460E-1,2.754800320E-1,1.554665565E0,9.840625763E0
7.535297190E-1,2.892540395E-1,1.554665565E0,9.802298546E0
7.560427400E-1,2.892540395E-1,1.559456587E0,9.802298546E0
7.585557600E-1,2.515252531E-1,1.521128893E0,9.787925720E0
7.610687810E-1,2.419433296E-1,1.511546969E0,9.759778023E0
7.635818540E-1,2.227794975E-1,1.559456587E0,9.811880112E0
7.660948750E-1,1.652880162E-1,1.559456587E0,9.735823631E0
7.686078960E-1,1.988247186E-1,1.535501719E0,9.698095322E0
7.711209170E-1,1.988247186E-1,1.525919795E0,9.721450806E0
7.736339900E-1,1.371411532E-1,1.492383122E0,9.754987717E0
7.761470100E-1,1.323501915E-1,1.521128893E0,9.740614891E0
7.786600310E-1,1.275592297E-1,1.535501719E0,9.678931236E0
7.811731040E-1,1.515140235E-1,1.516337872E0,9.645394325E0
7.836861250E-1,1.988247186E-1,1.545083642E0,9.674139977E0
7.861991460E-1,1.563049704E-1,1.549874663E0,9.659767151E0
7.887121670E-1,1.467230618E-1,1.607366085E0,9.517236710E0
7.912252400E-1,1.227682754E-1,1.559456587E0,9.526818275E0
7.937382600E-1,1.604970694E-1,1.540292740E0,9.493281364E0
7.962512810E-1,1.796608865E-1,1.540292740E0,9.522027016E0
7.987643020E-1,1.700789779E-1,1.545083642E0,9.469925880E0
8.012773750E-1,1.419321001E-1,1.559456587E0,9.445970535E0
8.037903960E-1,1.323501915E-1,1.554665565E0,9.407643318E0
8.063034170E-1,1.419321001E-1,1.583411336E0,9.374705315E0
8.088164900E-1,1.467230618E-1,1.588202238E0,9.345959663E0
8.113295100E-1,1.515140235E-1,1.573829412E0,9.393869400E0
8.138425310E-1,1.892428100E-1,1.583411336E0,9.379496574E0
8.163555520E-1,1.467230618E-1,1.592993259E0,9.365123749E0
8.188686250E-1,1.652880162E-1,1.612157106E0,9.336378098E0
8.213816460E-1,1.748699397E-1,1.583411336E0,9.336378098E0
8.238946670E-1,1.604970694E-1,1.554665565E0,9.317812920E0
8.264076880E-1,1.844518483E-1,1.612157106E0,9.345959663E0
8.289207600E-1,1.700789779E-1,1.626529932E0,9.350750923E0
8.314337810E-1,1.844518483E-1,1.626529932E0,9.384286880E0
8.339468020E-1,2.179885507E-1,1.607366085E0,9.384286880E0
8.364598750E-1,2.323614210E-1,1.597784162E0,9.398659706E0
8.389728960E-1,2.131975889E-1,1.588202238E0,9.450761795E0
8.414859170E-1,2.371523827E-1,1.578620315E0,9.422016144E0
8.439989380E-1,2.515252531E-1,1.564247489E0,9.450761795E0
8.465120100E-1,2.179885507E-1,1.592993259E0,9.526818275E0
8.490250310E-1,2.179885507E-1,1.578620315E0,9.526818275E0
8.515380520E-1,1.796608865E-1,1.525919795E0,9.564546585E0
8.540510730E-1,2.419433296E-1,1.549874663E0,9.569337845E0
8.565641460E-1,2.275704592E-1,1.545083642E0,9.522027016E0
8.590771670E-1,2.179885507E-1,1.549874663E0,9.526818275E0
8.615901880E-1,1.940337569E-1,1.530710816E0,9.488490105E0
8.641032080E-1,1.844518483E-1,1.545083642E0,9.541191101E0
8.666162810E-1,2.084066272E-1,1.506755948E0,9.622038841E0
8.691293020E-1,1.892428100E-1,1.559456587E0,9.526818275E0
8.716423230E-1,1.844518483E-1,1.545083642E0,9.536399841E0
8.741553960E-1,1.652880162E-1,1.521128893E0,9.526818275E0
8.766684170E-1,2.515252531E-1,1.516337872E0,9.545982361E0
8.791814380E-1,2.036156803E-1,1.506755948E0,9.564546585E0
8.816944580E-1,1.515140235E-1,1.588202238E0,9.526818275E0
8.842075310E-1,1.796608865E-1,1.569038391E0,9.507654190E0
8.867205520E-1,2.515252531E-1,1.588202238E0,9.488490105E0
8.892335730E-1,2.563162148E-1,1.573829412E0,9.474716187E0
8.917465940E-1,2.323614210E-1,1.607366085E0,9.441180229E0
8.942596670E-1,1.988247186E-1,1.621739030E0,9.412433624E0
8.967726880E-1,2.275704592E-1,1.645693779E0,9.441180229E0
8.992857080E-1,2.227794975E-1,1.631320834E0,9.502862930E0
9.017987810E-1,2.892540395E-1,1.631320834E0,9.469925880E0
9.043118020E-1,2.658981085E-1,1.631320834E0,9.465134621E0
9.068248230E-1,2.515252531E-1,1.631320834E0,9.465134621E0
9.093378440E-1,2.563162148E-1,1.645693779E0,9.474716187E0
9.118509170E-1,2.658981085E-1,1.669648528E0,9.479507446E0
9.143639380E-1,2.988359630E-1,1.684021473E0,9.522027016E0
9.168769580E-1,2.706890702E-1,1.674439549E0,9.559756279E0
9.193899790E-1,2.802709937E-1,1.707377315E0,9.531609535E0
9.219030520E-1,2.658981085E-1,1.721750259E0,9.498072624E0
9.244160730E-1,2.467342913E-1,1.726541162E0,9.593292236E0
9.269290940E-1,2.611071467E-1,1.684021473E0,9.559756279E0
9.294421670E-1,2.563162148E-1,1.679230452E0,9.559756279E0
9.319551880E-1,2.323614210E-1,1.674439549E0,9.536399841E0
9.344682080E-1,2.131975889E-1,1.707377315E0,9.578919411E0
9.369812290E-1,2.084066272E-1,1.707377315E0,9.640603065E0
9.394943020E-1,2.275704592E-1,1.716959238E0,9.659767151E0
9.420073230E-1,2.371523827E-1,1.712168336E0,9.626230240E0
9.445203440E-1,2.275704592E-1,1.674439549E0,9.578919411E0
9.470334170E-1,2.227794975E-1,1.740913987E0,9.635812759E0
9.495465420E-1,1.748699397E-1,1.688812375E0,9.631021500E0
9.520597190E-1,1.700789779E-1,1.697795391E0,9.612456322E0
9.545728440E-1,1.844518483E-1,1.693603277E0,9.650185585E0
9.570860210E-1,1.796608865E-1,1.716959238E0,9.669348717E0
9.595991460E-1,1.940337569E-1,1.726541162E0,9.650185585E0
9.621123230E-1,2.227794975E-1,1.688812375E0,9.688512802E0
9.646254480E-1,2.131975889E-1,1.693603277E0,9.693304062E0
9.671386250E-1,1.892428100E-1,1.688812375E0,9.698095322E0
9.696517500E-1,1.988247186E-1,1.684021473E0,9.702286720E0
9.721649270E-1,1.940337569E-1,1.669648528E0,9.659767151E0
9.746780520E-1,2.515252531E-1,1.640902758E0,9.683721542E0
9.771912290E-1,2.844630778E-1,1.669648528E0,9.716659546E0
9.797043540E-1,2.802709937E-1,1.655275702E0,9.716659546E0
9.822174790E-1,2.706890702E-1,1.674439549E0,9.669348717E0
9.847306560E-1,2.754800320E-1,1.684021473E0,9.631021500E0
9.872437810E-1,2.940450013E-1,1.669648528E0,9.688512802E0
9.897569580E-1,3.419545591E-1,1.674439549E0,9.745405197E0
9.922700830E-1,3.467455208E-1,1.702586412E0,9.664558411E0
9.947832600E-1,3.323726356E-1,1.674439549E0,9.654975891E0
9.972963850E-1,3.179997802E-1,1.669648528E0,9.740614891E0
9.998095630E-1,3.515364826E-1,1.674439549E0,9.674139977E0
1.002322688E0,3.898641467E-1,1.702586412E0,9.693304062E0
1.004835865E0,3.898641467E-1,1.655275702E0,9.769360542E0
1.007348990E0,4.042370021E-1,1.655275702E0,9.702286720E0
1.009862167E0,4.042370021E-1,1.669648528E0,9.750196457E0
1.012375292E0,4.084290862E-1,1.655275702E0,9.787925720E0
1.014888469E0,4.060336053E-1,1.677433848E0,9.675936699E0
1.017401594E0,4.060336053E-1,1.663061023E0,9.728038788E0
1.019914771E0,4.395703077E-1,1.677433848E0,9.766366005E0
1.022427896E0,4.443612695E-1,1.677433848E0,9.728038788E0
1.024941021E0,4.299883842E-1,1.682224751E0,9.713665962E0
1.027454198E0,4.251974523E-1,1.643897176E0,9.771157265E0
