"event","experiment time","system time","system time text"
"START",0.000000000E0,1621952019.854,"2021-05-25 16:13:39.854 UTC+02:00"
"PAUSE",4.339106785E2,1621952453.765,"2021-05-25 16:20:53.765 UTC+02:00"
