"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.621948067521186E9,"2021-05-25 15:07:47.521 UTC+02:00"
"PAUSE",2.033662691666541E1,1.621948087857786E9,"2021-05-25 15:08:07.858 UTC+02:00"
